@ 600 IN SOA sonata hostmaster 2015033100 3600 1800 604800 3600
@ 600 IN MX 5 poczta188
600 IN MX 10 poczta
@ 600 IN AAAA 2a00:1488:81::2
@ 600 IN A 195.187.82.250
@ 600 IN NS ns.icm.edu.pl.
600 IN NS ns1.net.icm.edu.pl.
600 IN NS ns2.net.icm.edu.pl.
600 IN NS sonata
107-MONT-1 600 IN A 195.187.82.109
wydawnictwa 600 IN CNAME kantata3
351-Melcer-1 600 IN A 195.187.82.148
306-W3-1 600 IN A 195.187.82.110
120-FONO-2 600 IN A 195.187.82.130
kntt 600 IN CNAME lokomotywa
wrd 600 IN CNAME lokomotywa
poczta 600 IN A 46.248.188.4
304-W1-1 600 IN A 195.187.82.74
301-D-1 600 IN A 195.187.82.138
223-ADM-1 600 IN A 195.187.82.164
223-ADM-2 600 IN A 195.187.82.165
dynamic-226 600 IN A 195.187.82.226
dynamic-170 600 IN A 195.187.82.170
103-MONT-1 600 IN A 195.187.82.104
dynamic-218 600 IN A 195.187.82.218
213a-DYR-1 600 IN A 195.187.82.72
414-KAM-1 600 IN A 195.187.82.81
dynamic-219 600 IN A 195.187.82.219
222-DZ-1 600 IN A 195.187.82.73
222-DZ-2 600 IN A 195.187.82.168
401-KF-1 600 IN A 195.187.82.103
401-KF-2 600 IN A 195.187.82.151
306-W3-2 600 IN A 195.187.82.166
www.moodle 600 IN CNAME suita
muminek 600 IN A 195.187.82.3
badaniamuzyczne 600 IN CNAME kantata3
suita._domainkey 3600 IN TXT "v=DKIM1; p=" "MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCrv9m9iFz0UXqt9k285h85pUFX" "ShNZNYcAeQZuCz1Y1kufFt7znErbLXiY8Mwu6GBfmrbq3bLAI95iSdPhy3ZDU3K6" "eQhuKPWaMtp9RLdNZtFN/RlbfbSOy+VeEOowCrwhh9L3HjRTgvIR6yxIuDkQtNDv" "tSvuugRjV1ICgMLM4QIDAQAB"
pop3 600 IN CNAME poczta
netra-zone1 600 IN A 195.187.82.16
netra-zone2 600 IN A 195.187.82.17
dynamic-171 600 IN A 195.187.82.171
404-KKS-1 600 IN A 195.187.82.100
dynamic-65 600 IN A 195.187.82.65
buka 600 IN A 195.187.82.6
netra-lan 600 IN A 10.0.254.2
mi 600 IN A 195.187.82.8
mail.kkf 600 IN A 195.162.24.42
414-KAM-2 600 IN A 195.187.82.82
ankieta2012 600 IN CNAME kantata3
ankieta2013 600 IN CNAME kantata3
400-KPM-1 600 IN A 195.187.82.150
113-FONO-2 600 IN A 195.187.82.127
static-20 600 IN A 195.187.82.20
mx 600 IN CNAME poczta
435-KA-3 600 IN A 195.187.82.162
dynamic-220 600 IN A 195.187.82.220
dynamic-225 600 IN A 195.187.82.225
009-KBe-1 600 IN A 195.187.82.118
dynamic-43 600 IN A 195.187.82.43
dynamic-66 600 IN A 195.187.82.66
101-MONT-1 600 IN A 195.187.82.119
215-KWE-1 600 IN A 195.187.82.163
dynamic-230 600 IN A 195.187.82.230
allied-225101080287 600 IN A 195.187.82.245
www 600 IN CNAME filifionka
452-TM-1 600 IN A 195.187.82.157
120-FONO-1 600 IN A 195.187.82.129
w3test 600 IN CNAME filifionka
filifionka6 600 IN AAAA 2a00:1488:81::2
kantata 600 IN A 195.187.82.252
dynamic-233 600 IN A 195.187.82.233
www.isset 600 IN CNAME suita
kkf 600 IN A 195.162.24.42
kkf 600 IN TXT "v=spf1 a mx ~all"
kkf 600 IN MX 10 mail.kkf
104-UOI-0 600 IN A 195.187.82.190
104-UOI-1 600 IN A 195.187.82.191
104-UOI-2 600 IN A 195.187.82.192
104-UOI-3 600 IN A 195.187.82.193
104-UOI-4 600 IN A 195.187.82.194
104-UOI-5 600 IN A 195.187.82.195
104-UOI-6 600 IN A 195.187.82.196
104-UOI-7 600 IN A 195.187.82.197
smtp 600 IN CNAME poczta
www.karuzas 600 IN CNAME suita
ppp0 600 IN A 195.187.82.240
ppp1 600 IN A 195.187.82.241
420-KAM-1 600 IN A 195.187.82.107
ppp3 600 IN A 195.187.82.243
chopin2010 600 IN CNAME filifionka
dynamic-176 600 IN A 195.187.82.176
224-DW-1 600 IN A 195.187.82.158
234-RK-1 600 IN A 195.187.82.136
static-16 600 IN A 195.187.82.16
simple-backup 600 IN CNAME mimbla
418-KAM-1 600 IN A 195.187.82.84
418-KAM-2 600 IN A 195.187.82.99
dynamic-50 600 IN A 195.187.82.50
static-31 600 IN A 195.187.82.31
psychologia 600 IN CNAME kantata3
opac 600 IN A 195.187.82.234
tokstudiow 600 IN CNAME lokomotywa
_xmpp-server._tcp 600 IN SRV 0 0 5269 suita
ryjek 600 IN A 148.81.171.50
417-KAM-1 600 IN A 195.187.82.85
102-MONT-1 600 IN A 195.187.82.120
dynamic-57 600 IN A 195.187.82.57
rejestracja.karuzas 600 IN CNAME suita
ppp2 600 IN A 195.187.82.242
pop 600 IN CNAME poczta
dynamic-223 600 IN A 195.187.82.223
moodle 600 IN CNAME suita
dynamic-60 600 IN A 195.187.82.60
foniatria 600 IN CNAME suita
static-38 600 IN A 195.187.82.38
static-37 600 IN A 195.187.82.37
415-KAM-1 600 IN A 195.187.82.83
static-36 600 IN A 195.187.82.36
_jabber._tcp 600 IN SRV 0 0 5269 suita
suita 600 IN A 195.187.82.250
suita 600 IN AAAA 2a00:1488:81::2
www.chopin2010 600 IN CNAME filifionka
ftp 600 IN CNAME suita
e-knh 600 IN CNAME suita
405-KF-1 600 IN A 195.187.82.111
405-KF-2 600 IN A 195.187.82.152
223-DG-1 600 IN A 195.187.82.102
lokomotywa 600 IN A 195.187.82.239
402-KF-1 600 IN A 195.187.82.77
421-KKS-1 600 IN A 195.187.82.153
003-MONT-1 600 IN A 195.187.82.114
003-MONT-2 600 IN A 195.187.82.115
netra-zone3 600 IN A 195.187.82.18
netra-zone4 600 IN A 195.187.82.19
211-DSB-1 600 IN A 195.187.82.69
wwa 600 IN CNAME lokomotywa
gg 600 IN A 195.187.82.250
muzykalia 600 IN CNAME kantata3
413-KAM-1 600 IN A 195.187.82.105
206-REK-1 600 IN A 195.187.82.91
206-REK-2 600 IN A 195.187.82.92
webmail.kkf 600 IN A 195.162.24.42
studio 600 IN A 195.187.82.233
dynamic-169 600 IN A 195.187.82.169
355-SZYM-1 600 IN A 195.187.82.149
dynamic-172 600 IN A 195.187.82.172
dynamic-173 600 IN A 195.187.82.173
dynamic-174 600 IN A 195.187.82.174
dynamic-175 600 IN A 195.187.82.175
www.2010 600 IN CNAME filifionka
dynamic-177 600 IN A 195.187.82.177
dynamic-178 600 IN A 195.187.82.178
412-KAM-1 600 IN A 195.187.82.88
412-KAM-2 600 IN A 195.187.82.86
412-KAM-3 600 IN A 195.187.82.87
dynamic-183 600 IN A 195.187.82.183
dynamic-184 600 IN A 195.187.82.184
dynamic-185 600 IN A 195.187.82.185
antoni 600 IN CNAME suita
dynamic-187 600 IN A 195.187.82.187
censa-stream 600 IN A 213.135.50.98
309-W6-1 600 IN A 195.187.82.76
309-W6-2 600 IN A 195.187.82.143
226-CZYT-1 600 IN A 195.187.82.96
226-CZYT-2 600 IN A 195.187.82.134
226-CZYT-3 600 IN A 195.187.82.135
411-KAM-1 600 IN A 195.187.82.108
449-SMK-1 600 IN A 195.187.82.79
taniec 600 IN CNAME lokomotywa
dynamic-210 600 IN A 195.187.82.210
dynamic-211 600 IN A 195.187.82.211
dynamic-212 600 IN A 195.187.82.212
307-W4-1 600 IN A 195.187.82.142
dynamic-214 600 IN A 195.187.82.214
dynamic-215 600 IN A 195.187.82.215
106-KRD-1 600 IN A 195.187.82.121
dynamic-217 600 IN A 195.187.82.217
allied-fonoteka-01 600 IN CNAME allied-225101080159
allied-fonoteka-02 600 IN CNAME allied-225101080287
dynamic-221 600 IN A 195.187.82.221
dynamic-222 600 IN A 195.187.82.222
445-D-1 600 IN A 195.187.82.155
203-REK-1 600 IN A 195.187.82.68
435-KA-1 600 IN A 195.187.82.160
305-W2-1 600 IN A 195.187.82.141
006-R2-1 600 IN A 195.187.82.116
dynamic-228 600 IN A 195.187.82.228
dynamic-229 600 IN A 195.187.82.229
dynamic-231 600 IN A 195.187.82.231
dynamic-232 600 IN A 195.187.82.232
300-ZZ-1 600 IN A 195.187.82.137
static-25 600 IN A 195.187.82.25
static-26 600 IN A 195.187.82.26
static-27 600 IN A 195.187.82.27
static-28 600 IN A 195.187.82.28
conference 600 IN A 195.187.82.250
202-REK-1 600 IN A 195.187.82.67
static-32 600 IN A 195.187.82.32
static-33 600 IN A 195.187.82.33
static-34 600 IN A 195.187.82.34
static-35 600 IN A 195.187.82.35
sonata 600 IN AAAA 2a00:1488:81::4
sonata 600 IN A 195.187.82.10
psychemusic 600 IN CNAME kantata3
static-17 600 IN A 195.187.82.17
207-BK-1 600 IN A 195.187.82.97
207-BK-2 600 IN A 195.187.82.167
dynamic-227 600 IN A 195.187.82.227
kanon 600 IN A 195.187.82.248
dynamic-180 600 IN A 195.187.82.180
113-FONO-1 600 IN A 195.187.82.126
110-ADM-1 600 IN A 195.187.82.124
113-FONO-3 600 IN A 195.187.82.128
static-30 600 IN A 195.187.82.30
413-KAM-2 600 IN A 195.187.82.106
static-19 600 IN A 195.187.82.19
mail 600 IN CNAME poczta
435-KA-2 600 IN A 195.187.82.161
212-DSP-1 600 IN A 195.187.82.132
ftp.kkf 600 IN CNAME kkf
filifionka4 600 IN A 195.187.82.5
maszynista 600 IN A 195.187.82.247
isset 600 IN CNAME suita
www.kkf 600 IN CNAME kkf
ignis 600 IN A 195.187.82.254
ignis 600 IN AAAA 2a00:1488:81::1
hatifnat 600 IN CNAME filifionka
345-KEM-1 600 IN A 195.187.82.146
345-KEM-2 600 IN A 195.187.82.147
403-TM-1 600 IN A 195.187.82.89
403-TM-2 600 IN A 195.187.82.90
303-D-1 600 IN A 195.187.82.140
imap 600 IN CNAME poczta
wkditm 600 IN CNAME lokomotywa
147-ZP-1 600 IN A 195.187.82.133
xmpp 600 IN AAAA 2a00:1488:81::2
xmpp 600 IN A 195.187.82.250
408-DN-1 600 IN A 195.187.82.101
007-R1-1 600 IN A 195.187.82.117
musicale 600 IN CNAME streaming
ignis4 600 IN A 195.187.82.254
mimbla 600 IN A 195.187.82.7
451-SMK-1 600 IN A 195.187.82.80
451-SMK-2 600 IN A 195.187.82.98
ects 600 IN CNAME kantata3
samorzad 600 IN CNAME lokomotywa
2010 600 IN CNAME filifionka
streaming 600 IN A 195.187.82.238
446-D-1 600 IN A 195.187.82.156
poczta188 600 IN A 86.111.241.6
dynamic-179 600 IN A 195.187.82.179
katalog-kartkowy 600 IN A 195.187.82.224
109-ADM-1 600 IN A 195.187.82.123
313-KK-1 600 IN A 195.187.82.145
dynamic-181 600 IN A 195.187.82.181
nat-02 600 IN A 195.187.82.235
444-D-1 600 IN A 195.187.82.154
dynamic-182 600 IN A 195.187.82.182
210-SENAT-1 600 IN A 195.187.82.131
static-29 600 IN A 195.187.82.29
news.studio 600 IN A 195.187.82.233
nat-simple 600 IN A 195.187.82.251
108-D-1 600 IN A 195.187.82.122
213c-KWE-1 600 IN A 195.187.82.70
wifi-00 600 IN A 195.187.82.13
wifi-01 600 IN A 195.187.82.14
dynamic-213 600 IN A 195.187.82.213
censa-static-21 600 IN A 195.187.82.21
censa-static-22 600 IN A 195.187.82.22
censa-static-23 600 IN A 195.187.82.23
censa-static-24 600 IN A 195.187.82.24
promocja 600 IN CNAME lokomotywa
static-39 600 IN A 195.187.82.39
filifionka 600 IN A 195.187.82.5
filifionka 600 IN AAAA 2a00:1488:81::2
dynamic-186 600 IN A 195.187.82.186
fifi 600 IN CNAME filifionka
439-KA-1 600 IN A 195.187.82.78
112-FONO-1 600 IN A 195.187.82.125
www.e-knh 600 IN CNAME suita
302-D-1 600 IN A 195.187.82.139
medialarts 600 IN CNAME suita
static-18 600 IN A 195.187.82.18
dynamic-41 600 IN A 195.187.82.41
dynamic-42 600 IN A 195.187.82.42
dynamic-189 600 IN A 195.187.82.189
auth 600 IN CNAME suita
dynamic-45 600 IN A 195.187.82.45
dynamic-46 600 IN A 195.187.82.46
dynamic-47 600 IN A 195.187.82.47
dynamic-48 600 IN A 195.187.82.48
dynamic-49 600 IN A 195.187.82.49
dynamic-51 600 IN A 195.187.82.51
dynamic-52 600 IN A 195.187.82.52
dynamic-53 600 IN A 195.187.82.53
dynamic-54 600 IN A 195.187.82.54
dynamic-55 600 IN A 195.187.82.55
dynamic-56 600 IN A 195.187.82.56
_xmpp-client._tcp 600 IN SRV 0 0 5222 suita
dynamic-58 600 IN A 195.187.82.58
dynamic-59 600 IN A 195.187.82.59
dynamic-61 600 IN A 195.187.82.61
dynamic-62 600 IN A 195.187.82.62
dynamic-63 600 IN A 195.187.82.63
dynamic-64 600 IN A 195.187.82.64
