@ 38400 IN SOA mailsvr carlosangel\@usantotomas.edu.co. 1269375195 10800 3600 604800 38400
@ 38400 IN NS mailsvr
maestriapsicologiajuridica 38400 IN CNAME portalweb2
ambiental 38400 IN CNAME portalweb2
especializacionauditoriasistemas 38400 IN CNAME portalweb2
doctoradoderecho 38400 IN CNAME portalweb2
economia 38400 IN CNAME portalweb2
evaldocvuad 38400 IN CNAME web
moodle131 38400 IN A 190.145.116.29
celsius 38400 IN CNAME dspace
doctoradoeducacion 38400 IN CNAME portalweb2
maestriagobernabilidademocracia 38400 IN CNAME portalweb2
ingenieriamecanica 38400 IN CNAME portalweb2
evaldocente 38400 IN CNAME web
congresonacionalegresados 38400 IN CNAME portalweb
monitoreo 38400 IN A 190.145.116.116
pastoral 38400 IN CNAME portalweb2
maestriacienciaseconomicas 38400 IN CNAME portalweb2
pagosenlinea 38400 IN CNAME web
accionsocial 38400 IN CNAME web
ieshfaz 38400 IN CNAME portalweb2
admoneventos 38400 IN CNAME svrwebOCI8
diversitas 38400 IN CNAME revistas
crmegresados 38400 IN CNAME oracle
tecno 38400 IN CNAME theotokos
sai 38400 IN CNAME oracle
especializaciongestionterritorialyavaluos 38400 IN CNAME portalweb2
tapiz 38400 IN CNAME juan
reportes_sac 38400 IN CNAME svrwebOCI8
admisiones 38400 IN CNAME portalweb2
unicornio 38400 IN A 190.145.116.5
encuesta_mercadeo 38400 IN CNAME svrwebOCI8
lucas 38400 IN A 190.145.116.57
gesmad 38400 IN CNAME web
apolo 38400 IN A 172.16.1.54
hermes 38400 IN A 172.16.1.124
disenografico 38400 IN CNAME portalweb2
autoevaluacion 38400 IN CNAME svrwebOCI8
acreditacioningcivil 38400 IN CNAME web
ontologia 38400 IN CNAME portalweb2
pausas_activas 38400 IN CNAME web
telecomunicaciones 38400 IN CNAME portalweb2
eradio 38400 IN CNAME juan
www 38400 IN CNAME portalweb2
soporteev 38400 IN A 190.145.116.26
administraciondeempresas 38400 IN CNAME portalweb2
maestriaderechopenal 38400 IN CNAME portalweb2
enc_pos_administracion 38400 IN CNAME web
humanidades 38400 IN CNAME portalweb2
especializaciongerenciasistemascalidad 38400 IN CNAME portalweb2
liquidador 38400 IN CNAME web
cuadernosdefilosofialatinoamericana 38400 IN CNAME revistas
inscripciones_vuad 38400 IN CNAME web
maestriacalidad 38400 IN CNAME portalweb2
escenario 38400 IN CNAME portalweb2
autoevaluacionestadistica 38400 IN CNAME web
estadistica 38400 IN CNAME portalweb2
campusvirtual 38400 IN CNAME hostingmoodle
sgi 38400 IN CNAME web
enc_pos_ingenierias 38400 IN CNAME web
culturafisica 38400 IN CNAME portalweb2
maestriaensaludpublica 38400 IN CNAME portalweb2
ustacolombia 38400 IN CNAME portalweb2
evaldocenteposgrados 38400 IN CNAME web
aurora 38400 IN A 172.16.1.112
poligrafos 38400 IN CNAME portalweb2
odin 38400 IN A 172.16.1.110
mailsvr2 38400 IN A 190.145.116.52
udies 38400 IN CNAME portalweb2
mdm 38400 IN CNAME moodle131
especializaciongerencianegociosinternacionales 38400 IN CNAME portalweb2
apoyoegresados 38400 IN CNAME portalweb2
maestriacomunicacion 38400 IN CNAME portalweb2
especializacionderechoadministrativo 38400 IN CNAME portalweb2
portalweb2 38400 IN A 190.145.116.117
autoevaluacioningelectronica 38400 IN CNAME web
relacionesinternacionales 38400 IN CNAME portalweb2
caracterizacion 38400 IN CNAME web
especializacionpsicologiajuridica 38400 IN CNAME portalweb2
moodle 38400 IN A 190.145.116.33
inscripciones 38400 IN CNAME svrwebOCI8
comunicacionsocial 38400 IN CNAME portalweb2
maestriapsicologiaclinica 38400 IN CNAME portalweb2
juan 38400 IN A 190.145.116.13
inventario 38400 IN CNAME filtro
revistacampos 38400 IN CNAME revistas
fenix 38400 IN A 172.16.1.111
autoevaluacion_pos_electronica 38400 IN CNAME web
test_acreditacion 38400 IN CNAME web
comunicacionesymercadeo 38400 IN CNAME portalweb2
maestriaderechopublico 38400 IN CNAME portalweb2
bienestar 38400 IN CNAME portalweb2
rsqtunja 38400 IN CNAME web
eventos 38400 IN CNAME web
sapips 38400 IN CNAME web
especializacionauditoriasalud 38400 IN CNAME portalweb2
ingenieriaindustrial 38400 IN CNAME portalweb2
cienciasbasicas 38400 IN CNAME portalweb2
cfide 38400 IN CNAME web
teologia 38400 IN CNAME portalweb2
sso 38400 IN CNAME oracle
acreditacion 38400 IN CNAME web
soportec 38400 IN CNAME filtro
ivcili 38400 IN CNAME portalweb2
proxy 38400 IN CNAME morfeo
proyectosudcfd 38400 IN A 190.145.116.28
negociosinternacionales 38400 IN CNAME portalweb2
validacionhv 38400 IN CNAME lucas
psicologia 38400 IN CNAME portalweb2
especializaciongerproyectostelecomunicaciones 38400 IN CNAME portalweb2
pegaso 38400 IN A 172.16.1.36
portalweb 38400 IN A 190.145.116.49
helpdesk 38400 IN A 190.145.116.115
siesfi 38400 IN CNAME web
magistro 38400 IN CNAME revistas
mercadeo 38400 IN CNAME portalweb2
oas 38400 IN A 190.145.116.7
informa 38400 IN A 190.145.116.12
tomasnoticias 38400 IN CNAME portalweb2
especializacionauditoriatributaria 38400 IN CNAME portalweb2
especializaciongerenciaseguridadsocial 38400 IN CNAME portalweb2
certificaciones 38400 IN CNAME certificaciones
scd 38400 IN CNAME web
identidad 38400 IN CNAME web
numanterioresviei 38400 IN CNAME revistas
merac 38400 IN CNAME web
electronica 38400 IN CNAME portalweb2
inscripciones_tunja 38400 IN CNAME web
ustanet 38400 IN CNAME moodle131
consulta_egresados 38400 IN CNAME web
filtro 38400 IN A 190.145.116.8
evaltunja 38400 IN CNAME web
institutodelenguas 38400 IN CNAME portalweb2
especializacionfinanzas 38400 IN CNAME portalweb2
maestriaplaneacion 38400 IN CNAME portalweb2
memoweb 38400 IN A 190.145.116.23
egresadostomasinosenelmundo 38400 IN CNAME web
contaduria 38400 IN CNAME portalweb2
maestriaeducacion 38400 IN CNAME portalweb2
evalcalidad 38400 IN CNAME web
autoevaluacion_pos_redes 38400 IN CNAME web
especializaciongerproyectosingelectronica 38400 IN CNAME portalweb2
vulcano 38400 IN A 172.16.1.57
tesis 38400 IN CNAME ezproxy
enc_acreditacion_csocial 38400 IN CNAME web
evaldocentevuad 38400 IN CNAME web
serviciosindicatura 38400 IN CNAME web
mailsvr 38400 IN A 190.145.116.3
sindicatura 38400 IN CNAME portalweb2
theotokos 38400 IN A 190.145.116.72
aplicacionconsultorioj 38400 IN CNAME filtro
filosofia 38400 IN CNAME portalweb2
inf_complementaria 38400 IN CNAME web
hefesto 38400 IN A 172.16.1.123
viei 38400 IN CNAME revistas
cartera_vuad 38400 IN CNAME informa
autoevaluacioningmecanica 38400 IN CNAME web
virtual 38400 IN A 190.145.116.15
certificados 38400 IN A 190.145.116.120
maestriaproteccionsocial 38400 IN CNAME portalweb2
unicorniopro 38400 IN CNAME unicornio2
maestriaactividadfisica 38400 IN CNAME portalweb2
gobernabilidad 38400 IN CNAME portalweb2
crono 38400 IN A 172.16.1.119
rsq 38400 IN CNAME web
atenea 38400 IN A 172.16.1.55
*.ezproxy 38400 IN CNAME tesis
especializacionderechopenal 38400 IN CNAME portalweb2
test_ingenierias 38400 IN CNAME web
autoevaluacioningcivil 38400 IN CNAME web
control 38400 IN A 190.145.116.44
afrodita 38400 IN CNAME perseo
consultoriojuridico 38400 IN CNAME portalweb2
saberpro 38400 IN A 190.145.116.34
sociologia 38400 IN CNAME portalweb2
doctoradofilosofia 38400 IN CNAME portalweb2
svrwebOCI8 38400 IN A 190.145.116.60
eradio1 38400 IN A 190.145.116.36
especializacionderechoshumanos 38400 IN CNAME portalweb2
eradio3 38400 IN A 190.145.116.37
sifco_usta 38400 IN CNAME web
elecciones 38400 IN CNAME web
perseo 38400 IN A 172.16.1.52
comunicacionesenestadistica 38400 IN CNAME revistas
tics 38400 IN CNAME portalweb2
ezproxy 38400 IN A 190.145.116.11
masc 38400 IN A 190.145.116.35
web 38400 IN A 190.145.116.27
maestriafilosofialatinoamericana 38400 IN CNAME portalweb2
derecho 38400 IN CNAME portalweb2
evaldocente_ustaicontec 38400 IN CNAME web
maestriaestudiosliterarios 38400 IN CNAME portalweb2
maestriatelecomunicaciones 38400 IN CNAME portalweb2
maestriainfraestructuravial 38400 IN CNAME portalweb2
enc_pos_contaduria 38400 IN CNAME web
especializaciongerenciamultimedia 38400 IN CNAME portalweb2
