@ 7200 IN SOA virgo hostmaster 1430540898 10800 1800 1814400 7200
@ 7200 IN MX 12801 ax.virusfree.cz.
7200 IN MX 12817 bx.virusfree.cz.
7200 IN MX 12833 cx.spamfree.cz.
7200 IN MX 12849 dx.spamfree.cz.
@ 7200 IN TXT "MS=ms96032695"
@ 7200 IN A 160.217.6.112
@ 7200 IN NS eros.zcu.cz.
7200 IN NS virgo
7200 IN NS taurus.zf
fprpr3102.prf 7200 IN A 160.217.213.36
oAP4-av-rek-3NP.wx 7200 IN A 160.217.93.38
k1-701-dostap00.k1 7200 IN A 160.217.216.180
stag-ws 7200 IN A 160.217.5.42
ntb-nemcova.frov 7200 IN MX 10 ntb-nemcova.frov
ntb-nemcova.frov 7200 IN A 160.217.191.84
fzs-3055.zsf 7200 IN A 160.217.196.116
ZSF-uVyst-160-217-200-201.zsf 7200 IN A 160.217.200.201
KolejK5-160-217-231-155.k5 7200 IN A 160.217.231.155
stag-web 7200 IN A 160.217.5.27
oAP3-av-rek-3NP.wx 7200 IN A 160.217.93.37
ucebna204.tf 7200 IN A 160.217.192.89
prfcsantrucek2.prf 7200 IN A 160.217.205.196
fprca30408.prf 7200 IN A 160.217.211.40
wireless-client-160-217-144-164.wa2 7200 IN A 160.217.144.164
wireless-client-160-217-133-229.wa1 7200 IN A 160.217.133.229
t48pfd 7200 IN A 160.217.8.151
wireless-client-160-217-144-224.wa2 7200 IN A 160.217.144.224
k5-223-kubikl02.k5 7200 IN A 160.217.229.120
pc1608.pf 7200 IN A 160.217.98.58
VPN-160-217-129-44.vpn 7200 IN A 160.217.129.44
eduroam-160-217-136-6.eduroam 7200 IN A 160.217.136.6
FROVZF-zasedacky-160-217-170-138.frovzf 7200 IN A 160.217.170.138
eduroam-160-217-136-201.eduroam 7200 IN A 160.217.136.201
AP4-pf-jer-3NP.wx 7200 IN A 160.217.91.238
eduroam-160-217-137-72.eduroam 7200 IN A 160.217.137.72
wireless-client-160-217-132-62.wa1 7200 IN A 160.217.132.62
fzs-2w7-18.zsf 7200 IN A 160.217.178.67
wireless-client-160-217-151-76.wa2 7200 IN A 160.217.151.76
wireless-client-160-217-149-233.wa2 7200 IN A 160.217.149.233
IPtel-archiv.zsf 7200 IN A 160.217.199.163
AP2-zf-dek-1NP.wx 7200 IN A 160.217.91.211
MaR-Velin-5NP.rek 7200 IN A 160.217.155.203
ucebna13.lib 7200 IN A 160.217.156.31
VPN-160-217-129-94.vpn 7200 IN A 160.217.129.94
vm5-134-test 7200 IN A 160.217.5.134
KolejK5-160-217-231-156.k5 7200 IN A 160.217.231.156
fprcs12529.prf 7200 IN A 160.217.208.229
prfsesxi1.prf 7200 IN A 160.217.208.10
fzs-2w7-68.zsf 7200 IN A 160.217.178.118
wireless-client-160-217-149-139.wa2 7200 IN A 160.217.149.139
rozv207.ufb 7200 IN A 160.217.215.207
VPN-160-217-129-136.vpn 7200 IN A 160.217.129.136
PRF-cam10.cam 7200 IN A 160.217.94.50
k1-406-laxovl00.k1 7200 IN A 160.217.216.55
A400TiskZebra.rek 7200 IN A 160.217.155.213
k5-324-secovk00.k5 7200 IN A 160.217.229.89
wireless-client-160-217-144-92.wa2 7200 IN A 160.217.144.92
k5-617-askovt00.k5 7200 IN A 160.217.228.89
wireless-client-160-217-147-119.wa2 7200 IN A 160.217.147.119
Pap-g485-ZF-pavM.epc 7200 IN A 160.217.89.64
ntb-trochova.frov 7200 IN MX 10 ntb-trochova.frov
ntb-trochova.frov 7200 IN A 160.217.191.58
k1-919-matiko00.k1 7200 IN A 160.217.216.143
SQL-stapro-pointer.zsf 7200 IN CNAME SQL-1-stapro.zsf
VPN-160-217-129-186.vpn 7200 IN A 160.217.129.186
fprcr3085.prf 7200 IN A 160.217.210.110
k2-204-.k2 7200 IN A 160.217.219.75
r100-cb 7200 IN CNAME r49ol-pos9-0-stm16.cesnet.cz.
wireless-client-160-217-144-230.wa2 7200 IN A 160.217.144.230
udrzba.tf 7200 IN A 160.217.193.89
ned82.ufb 7200 IN A 160.217.215.82
wireless-client-160-217-149-37.wa2 7200 IN A 160.217.149.37
plone25 7200 IN CNAME zms03
eduroam-160-217-137-100.eduroam 7200 IN A 160.217.137.100
001e3354c0ce.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
fprcb3479.prf 7200 IN A 160.217.205.60
E-modul.zf 7200 IN A 160.217.161.167
A0047TiskPagePro1350.ffrek 7200 IN A 160.217.153.45
VIDEOKONFERENCE-CB.frov 7200 IN MX 10 VIDEOKONFERENCE-CB.frov
VIDEOKONFERENCE-CB.frov 7200 IN A 160.217.202.88
FROV-cam07.cam 7200 IN A 160.217.94.17
ces184.ufb 7200 IN A 160.217.215.184
secure-www-bf 7200 IN A 160.217.1.37
t48rek 7200 IN A 160.217.8.222
eduroam-160-217-136-133.eduroam 7200 IN A 160.217.136.133
wireless-client-160-217-148-230.wa2 7200 IN A 160.217.148.230
tv1.pf 7200 IN A 160.217.123.22
pc1611.pf 7200 IN A 160.217.98.61
klet.ef 7200 IN A 160.217.161.34
k1-715-hrased00.k1 7200 IN A 160.217.216.72
wireless-client-160-217-149-87.wa2 7200 IN A 160.217.149.87
k5-517-vajovl01.k5 7200 IN A 160.217.228.151
fprcc020604.prf 7200 IN A 160.217.206.57
vesela.pf 7200 IN A 160.217.123.43
test.bobik 7200 IN A 160.217.152.241
A1038Bauer.ff 7200 IN A 160.217.126.143
k3-612-cervek04.k3 7200 IN A 160.217.222.1
prfsl03.prf 7200 IN A 160.217.208.50
k4-405b-tomkoi00.k4 7200 IN A 160.217.225.47
t48sad 7200 IN A 160.217.8.124
IPtel-Novotny.zsf 7200 IN A 160.217.199.177
fzs-2524nb.zsf 7200 IN A 160.217.199.91
notefilo.tf 7200 IN A 160.217.193.175
VPN-160-217-129-27.vpn 7200 IN A 160.217.129.27
wireless-client-160-217-151-26.wa2 7200 IN A 160.217.151.26
k1-1009-drabkn00.k1 7200 IN A 160.217.216.191
AP8-prfC-bra-2NP.wx 7200 IN A 160.217.92.38
fprcr2046.prf 7200 IN A 160.217.210.79
wireless-client-160-217-149-173.wa2 7200 IN A 160.217.149.173
FROVZF-zasedacky-160-217-170-209.frovzf 7200 IN A 160.217.170.209
pouzar.pf 7200 IN A 160.217.96.220
KolejK5-160-217-231-158.k5 7200 IN A 160.217.231.158
k1-613-staryj02.k1 7200 IN A 160.217.216.108
t44frovA2 7200 IN A 160.217.8.82
t44frovA3 7200 IN A 160.217.8.83
t44frovA4 7200 IN A 160.217.8.84
t44frovA5 7200 IN A 160.217.8.74
t44frovA6 7200 IN A 160.217.8.73
KNI-cam01.cam 7200 IN A 160.217.94.171
c80aa9b14a57.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
eduroam-160-217-136-96.eduroam 7200 IN A 160.217.136.96
stag-web1 7200 IN A 160.217.5.46
ff.shv 7200 IN CNAME www.shv
t44frovC2 7200 IN A 160.217.8.72
wifi-ap-edimax-it.frov 7200 IN MX 10 wifi-ap-edimax-it.frov
wifi-ap-edimax-it.frov 7200 IN A 160.217.190.162
eduroam-160-217-137-235.eduroam 7200 IN A 160.217.137.235
pc1612.pf 7200 IN A 160.217.98.62
t44frovD1 7200 IN A 160.217.8.75
fprcc020621.prf 7200 IN A 160.217.206.62
t44frovD3 7200 IN A 160.217.8.77
fzs-s03.zsf 7200 IN A 160.217.178.203
FROVZF-zasedacky-160-217-170-17.frovzf 7200 IN A 160.217.170.17
wireless-client-160-217-145-166.wa2 7200 IN A 160.217.145.166
fzs-2505T.zsf 7200 IN A 160.217.199.209
dhclient02-duk.pf 7200 IN A 160.217.120.231
pc12.bobik 7200 IN A 160.217.152.62
k3-1022-kalinm01.k3 7200 IN A 160.217.222.114
wireless-client-160-217-132-230.wa1 7200 IN A 160.217.132.230
wireless-client-160-217-133-8.wa1 7200 IN A 160.217.133.8
t44frovAd 7200 IN A 160.217.8.80
t48frovzf2 7200 IN A 160.217.8.33
k2-716-holejl00.k2 7200 IN A 160.217.219.57
t48frovzf4 7200 IN A 160.217.8.35
k5-526-viktoj02.k5 7200 IN A 160.217.229.169
t44frovH1 7200 IN A 160.217.8.26
t44frovH2 7200 IN A 160.217.8.27
t44frovH3 7200 IN A 160.217.8.28
k5-316-fialoe01.k5 7200 IN A 160.217.229.69
wireless-client-160-217-149-170.wa2 7200 IN A 160.217.149.170
holechv.pf 7200 IN A 160.217.120.225
5404a61fd17c.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
wireless-client-160-217-145-226.wa2 7200 IN A 160.217.145.226
KolejK5-160-217-231-159.k5 7200 IN A 160.217.231.159
fzs-2481.zsf 7200 IN A 160.217.196.51
7200 IN A 160.217.196.92
wireless-client-160-217-148-233.wa2 7200 IN A 160.217.148.233
KolejK5-160-217-231-64.k5 7200 IN A 160.217.231.64
wireless-client-160-217-148-98.wa2 7200 IN A 160.217.148.98
na7.zsf 7200 IN A 160.217.195.9
pf.shv 7200 IN CNAME www.shv
secure-www-tf 7200 IN A 160.217.1.36
A2033Jirousek.ff 7200 IN A 160.217.126.52
A2043TiskBizhubC253.ff 7200 IN A 160.217.126.194
k1-821-kraloa07.k1 7200 IN A 160.217.217.25
k052520j24.zf 7200 IN A 160.217.166.204
tv3.pf 7200 IN A 160.217.123.24
pc1613.pf 7200 IN A 160.217.98.63
t44frovM1 7200 IN A 160.217.8.50
wireless-client-160-217-151-235.wa2 7200 IN A 160.217.151.235
fzs-2516T.zsf 7200 IN A 160.217.200.218
k3-702-balouj02.k3 7200 IN A 160.217.223.86
k5-512-chmelk01.k5 7200 IN A 160.217.229.118
k1-517-cervip00.k1 7200 IN A 160.217.216.46
k2-906-sedlal04.k2 7200 IN A 160.217.218.105
KolejK3-160-217-223-226.k3 7200 IN A 160.217.223.226
wireless-client-160-217-132-195.wa1 7200 IN A 160.217.132.195
wireless-client-160-217-151-60.wa2 7200 IN A 160.217.151.60
k5-401-kadlej19.k5 7200 IN A 160.217.228.2
T24Xaps1 7200 IN A 160.217.8.15
AP2-bf-dek-2NP.wx 7200 IN A 160.217.93.31
secure-www-zf 7200 IN A 160.217.1.34
wireless-client-160-217-147-10.wa2 7200 IN A 160.217.147.10
b888e37b396b.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
k1-518-dostaa01.k1 7200 IN A 160.217.217.30
KolejK5-160-217-231-161.k5 7200 IN A 160.217.231.161
t48pfd2 7200 IN A 160.217.8.225
t48pfd3 7200 IN A 160.217.8.109
noteknih.tf 7200 IN A 160.217.193.156
KolejK5-160-217-231-65.k5 7200 IN A 160.217.231.65
zf.shv 7200 IN CNAME www.shv
ucebna210.tf 7200 IN A 160.217.192.90
wireless-client-160-217-148-122.wa2 7200 IN A 160.217.148.122
fprnkos.prf 7200 IN A 160.217.210.120
k4-102a-barakm00.k4 7200 IN A 160.217.224.70
pc1614.pf 7200 IN A 160.217.98.64
VPN-160-217-131-188.vpn 7200 IN A 160.217.131.188
AP10-pf-jer-1NP.wx 7200 IN A 160.217.91.244
