@ 7200 IN SOA sufe-1 root 2015042810 360 360 360000 7200
@ 7200 IN MX 10 mail
@ 7200 IN NS stmail
7200 IN NS sufe-1
sufe-access1 7200 IN A 202.121.130.12
netmgr 7200 IN AAAA 2001:da8:ff3a:c8c9:1000::
appm 7200 IN A 202.121.142.162
gh 7200 IN AAAA 2001:da8:800d:1::80
gh 7200 IN A 202.121.138.68
keyan 7200 IN A 202.121.138.56
itom 7200 IN A 202.121.129.150
wmdw 7200 IN A 202.121.138.68
wmdw 7200 IN AAAA 2001:da8:800d:1::80
law 7200 IN AAAA 2001:da8:800d:1::80
law 7200 IN A 202.121.138.68
laihua 7200 IN A 202.121.138.56
spea-english 7200 IN A 202.121.129.10
gs 7200 IN A 202.121.129.186
ssm 7200 IN A 202.121.138.68
ssm 7200 IN AAAA 2001:da8:800d:1::80
mail.myuni 7200 IN A 202.121.138.10
asdb_test 7200 IN A 192.168.138.80
isys 7200 IN A 202.121.138.56
hq 7200 IN AAAA 2001:da8:800d:1::80
hq 7200 IN A 202.121.138.68
hr 7200 IN A 202.121.142.81
jwc 7200 IN A 202.121.129.186
cjyj 7200 IN A 202.121.138.49
dss 7200 IN A 202.121.142.16
kms 7200 IN A 202.121.129.157
cet1 7200 IN A 202.121.129.89
xy 7200 IN AAAA 2001:da8:800d:6::103
xy 7200 IN A 202.121.129.103
7200 IN A 202.121.129.165
cdxb 7200 IN A 202.121.138.49
mail04 7200 IN CNAME stumail
weixin 7200 IN A 202.121.138.56
fitl 7200 IN A 202.121.138.49
crjy 7200 IN A 219.220.138.168
jw 7200 IN A 202.121.129.186
wyvod 7200 IN A 10.2.8.3
gemba 7200 IN A 202.121.129.41
photo 7200 IN A 202.121.138.56
zcglc 7200 IN AAAA 2001:da8:800d:1::80
zcglc 7200 IN A 202.121.138.68
ky 7200 IN AAAA 2001:da8:800d:1::80
ky 7200 IN A 202.121.138.68
elearning 7200 IN AAAA 2001:da8:800d:16::178
elearning 7200 IN A 202.121.129.178
search 7200 IN A 202.121.129.240
mj 7200 IN A 202.121.142.17
sce 7200 IN AAAA 2001:da8:800d:16::176
sce 7200 IN A 202.121.129.176
edoas 7200 IN A 202.121.138.49
graduate 7200 IN A 202.121.129.186
oa 7200 IN A 202.121.142.81
mpacc 7200 IN A 222.73.52.117
www 7200 IN AAAA 2001:da8:800d:1::80
www 7200 IN A 202.121.138.68
mba 7200 IN A 202.121.129.41
libanswers 7200 IN A 75.126.221.52
ices 7200 IN A 202.121.129.186
map 7200 IN A 202.121.138.56
rcpy 7200 IN AAAA 2001:da8:800d:6::87
rcpy 7200 IN A 202.121.129.87
